자치구별(1),자치구별(2),2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
자치구별(1),자치구별(2),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건)
합계,소계,40451,40829,39439,40792,41665,40039,38625,38795,39258,35227,33913
합계,종로구,1421,1374,1274,1314,1414,1299,1190,1134,1133,903,778
합계,중구,1497,1458,1442,1305,1338,1288,1252,1128,1184,955,854
합계,용산구,1170,1203,1391,1350,1516,1428,1337,1330,1187,890,1014
합계,성동구,1154,986,1100,1189,1227,1099,1076,1143,1091,1119,1057
합계,광진구,1430,1494,1303,1480,1235,1045,1064,1108,973,869,922
합계,동대문구,1777,1881,1970,1848,2085,2051,1718,1699,1565,1448,1390
합계,중랑구,1782,1753,1716,1622,1722,1535,1639,1565,1620,1447,1373
합계,성북구,1569,1572,1536,1664,1680,1618,1557,1427,1509,1275,1285
합계,강북구,1174,1212,1107,1313,1265,1227,1202,1216,1277,1087,1017
합계,도봉구,933,983,934,919,914,949,944,824,852,741,591
합계,노원구,1529,1623,1522,1516,1459,1535,1499,1569,1703,1462,1413
합계,은평구,1509,1519,1270,1325,1203,1121,1067,1134,1119,953,867
합계,서대문구,1061,1041,1081,1122,1071,1135,1032,1033,1113,928,930
합계,마포구,1623,1561,1747,1759,1802,1768,1859,1671,1494,1272,1102
합계,양천구,1444,1418,1340,1466,1596,1493,1343,1428,1506,1344,1305
합계,강서구,1885,1767,1715,1806,1932,1691,1584,1502,1829,1575,1501
합계,구로구,1542,1582,1415,1566,1508,1511,1433,1532,1529,1325,1350
합계,금천구,1125,1017,939,1029,914,799,824,932,920,810,827
합계,영등포구,2310,2179,2157,2193,2462,2403,2386,2493,2439,2208,2178
합계,동작구,1192,1258,1233,1399,1386,1471,1409,1412,1406,1307,1148
합계,관악구,1737,1713,1753,1716,1625,1408,1251,1300,1363,1444,1419
합계,서초구,2048,2090,2055,2217,2160,2313,2361,2478,2418,2250,2118
합계,강남구,3562,3843,3610,3624,3970,3828,3469,3459,3722,3752,3820
합계,송파구,2554,2844,2473,2608,2687,2598,2758,2860,2892,2595,2607
합계,강동구,1423,1458,1356,1442,1494,1426,1371,1418,1414,1268,1047
